family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
niah_single,random,0.1,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.18921291288855085,473.0052108772927,5647.941,6120.946210877292,5.283607176722696
niah_single,lexical,0.5,9,1.0,1.0,1.0,1.0,9,0.5438808668662085,470.7614237235652,17973.358,18444.119423723565,1.837238847986149
niah_single,lexical,0.35,9,1.0,1.0,1.0,1.0,9,0.4086346473154089,473.55237717015876,13172.453666666666,13646.006043836825,2.4467244081865482
niah_single,lexical,0.25,9,1.0,1.0,1.0,1.0,9,0.31708726292381395,476.0522632342246,10025.705555555556,10501.757818789782,3.1392069594185976
niah_single,lexical,0.15,9,1.0,1.0,1.0,1.0,9,0.2257803437740411,469.1795077588823,6915.234222222222,7384.4137299811055,4.4026975127644965
niah_single,lexical,0.1,9,1.0,1.0,1.0,1.0,9,0.1813879208357133,471.19157916555804,5418.245888888889,5889.437468054446,5.484901577910625
niah_single,embed,0.5,9,1.0,1.0,1.0,1.0,9,0.5677344857687492,767.0324187104901,18777.23488888889,19544.26730759938,1.735321570055249
niah_single,embed,0.35,9,1.0,1.0,1.0,1.0,9,0.42806836304604956,738.1443286107647,13815.024666666668,14553.168995277432,2.301111722750647
niah_single,embed,0.25,9,1.0,1.0,1.0,1.0,9,0.3332270584475928,740.93399496956,10534.66411111111,11275.59810608067,2.9354493321626762
niah_single,embed,0.15,9,1.0,1.0,1.0,1.0,9,0.23724553081259098,744.5718977186415,7273.069444444444,8017.641342163086,4.068157055894279
niah_single,embed,0.1,9,1.0,1.0,1.0,1.0,9,0.1885134643138323,737.1788351900047,5651.784555555556,6388.963390745561,5.065254478691802
niah_single,hybrid,0.5,9,1.0,1.0,1.0,1.0,9,0.5677344857687492,741.1834428914719,18775.81788888889,19517.001331780357,1.7394530143761517
niah_single,hybrid,0.35,9,1.0,1.0,1.0,1.0,9,0.42806836304604956,739.9503818402687,13815.036222222221,14554.98660406249,2.300764898366487
niah_single,hybrid,0.25,9,1.0,1.0,1.0,1.0,9,0.3332270584475928,740.3641092694468,10535.358888888886,11275.722998158333,2.935207020560317
niah_single,hybrid,0.15,9,1.0,1.0,1.0,1.0,9,0.23724553081259098,742.0418077251977,7274.7827777777775,8016.824585502975,4.067926720709813
niah_single,hybrid,0.1,9,1.0,1.0,1.0,1.0,9,0.1885134643138323,740.5490717954106,5651.527444444444,6392.076516239855,5.062280828601341
niah_multi,last,0.5,9,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.8333333333333334,6,0.5457631576133521,474.8490290302369,17994.149777777777,18468.998806808013,1.8405132283222538
niah_multi,last,0.35,9,0.4444444444444444,0.2222222222222222,0.4444444444444444,1.0,4,0.4086824390012055,474.03657405326766,13144.624777777779,13618.661351831046,2.46069512536261
niah_multi,last,0.25,9,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.6666666666666666,3,0.31832872695944037,479.50210898286764,10023.904444444444,10503.406553427312,3.1490465201268227
niah_multi,last,0.15,9,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.75,4,0.22728842115197928,473.2307671672768,6916.996222222222,7390.226989389499,4.411188894746115
